12355;19666;43977;14052;
12570;19570;43770;14095;
12489;19474;43896;14267;
12075;19548;44237;14237;
12414;19955;44237;14377;
12511;19755;44140;14141;
12829;19732;44496;14354;
12517;19607;44081;14222;
12556;19881;44363;14074;
12741;19912;44118;14386;
12652;19659;44436;13860;
13096;20185;44710;14918;
12984;20237;44444;14658;
12748;19918;44325;14703;
12539;19829;44415;14570;
12600;20030;44103;14304;
12518;19718;43963;14296;
12711;19503;44222;14207;
12481;19651;44385;13852;
12533;19325;44207;14051;
12125;19777;44111;14273;
13044;20363;44533;14622;
13215;20689;44711;14977;
12511;19726;44614;14475;
12674;19904;44147;14163;
12761;19510;43881;14169;
12473;19711;44229;14310;
12562;19637;43933;14393;
12503;19807;44059;13962;
12473;19548;44029;14230;
12742;19763;44095;14378;
12274;19496;44192;14221;
12155;19571;43874;14163;
12548;19615;43866;14193;
12607;19592;44118;14496;
12325;19467;44118;14074;
12696;20037;44570;14222;
12548;19814;44185;14311;
12644;19599;44496;14363;
12504;19674;43851;14406;
12732;19763;43807;14222;
12570;19710;44325;14450;
12748;20088;44355;14332;
12658;19740;44318;14236;
12407;19799;44029;14266;
12636;19970;44518;14332;
12785;19814;44488;14511;
12681;19992;44459;14370;
12688;19852;43992;14111;
12510;19630;44133;14311;
12437;19992;44215;14511;
12748;19606;44466;14599;
12303;19681;44029;14104;
12460;19763;44296;14526;
13067;19963;44637;14525;
12814;20015;44607;14867;
12615;19963;44548;14556;
12601;19733;44288;14503;
12599;20148;44392;14362;
12488;19889;44562;14333;
12496;19407;44148;14312;
12496;19888;44281;14259;
12481;19577;44251;13903;
12718;19748;44288;14200;
12607;19681;44081;14155;
12445;19392;43911;14178;
12260;19837;44229;14304;
12748;19652;44362;14511;
12482;19770;44170;14355;
12481;19882;44207;13867;
12482;19807;44377;14333;
12585;19860;44177;14259;
12718;20044;44207;14466;
12481;19748;44074;14318;
12793;19911;44333;14236;
12526;19673;44725;14430;
12800;19623;44066;14178;
12727;19933;44792;14237;
12814;19532;44170;14141;
12430;19799;44303;14267;
12444;19800;44155;14022;
12814;19541;44111;14207;
12770;19852;44289;14178;
12540;19681;44377;14296;
12564;19785;44370;14282;
12466;19792;44199;14170;
12585;19778;43955;14444;
12385;19414;44207;14170;
12658;19792;44133;14029;
12622;19926;44318;14230;
12993;19778;44429;14356;
12859;20185;44022;14215;
12319;19764;43963;14030;
12696;19853;44192;14208;
12808;19918;44118;14555;
12348;19829;44511;14325;
12325;19659;44051;14045;
12385;19985;43866;14207;
12896;19999;44302;14229;
12644;19644;44251;14184;
12259;19592;44155;13992;
12349;19837;44377;14400;
12874;19926;44341;14555;
12748;19912;43844;14237;
12458;19800;44429;14222;
12555;19645;44140;14089;
12608;19830;44274;14341;
12747;19955;44066;14370;
12577;19637;44414;14118;
12295;19903;43740;14296;
